problem_id,problem_text,domain,sub_domain,problem_type
Q00630,Poor transport connectivity is affecting residents' daily activities.,Urban Development,Public Transport,Transport Connectivity Problem
Q00738,The rural area lacks sufficient employment opportunities.,Rural Livelihood,Employment,Rural Employment Shortage
Q00220,Poor crop productivity is reducing farmers' income.,Agriculture,Crop Management,Low Crop Productivity
Q00740,The community needs more employment opportunities.,Rural Livelihood,Employment,Rural Employment Shortage
Q00616,Residents do not have enough public transport options.,Urban Development,Public Transport,Public Transport Shortage
Q00743,Rural workers face irregular employment opportunities.,Rural Livelihood,Employment,Seasonal Employment Problem
Q00683,People using wheelchairs face difficulties boarding buses.,Accessibility,Accessible Transport,Wheelchair Transport Problem
Q00624,Public buses do not operate frequently enough.,Urban Development,Public Transport,Bus Service Problem
Q00387,Several households are not connected to the sewage system.,Sanitation,Sewage Management,Sewage Network Problem
Q00786,Residents need training to start and manage small businesses.,Rural Livelihood,Self Employment,Entrepreneurship Training Problem
Q00510,High temperatures are creating health and livelihood problems.,Environment,Climate Issues,Heat Stress
Q00268,There is no reliable repair facility for farm machinery.,Agriculture,Agricultural Equipment,Equipment Maintenance
Q00669,The community needs ramps at public buildings.,Accessibility,Accessible Buildings,Ramp Shortage
Q00442,Residents complain about emissions from factories.,Environment,Air Pollution,Industrial Air Pollution
Q00497,Heavy rainfall and heat waves are causing serious problems.,Environment,Climate Issues,Extreme Weather Impact
Q00113,Residents have to travel to cities to consult specialists.,Healthcare,Doctor Availability,Specialist Doctor Shortage
Q00233,Poor soil fertility is reducing agricultural production.,Agriculture,Soil Health,Soil Fertility Problem
Q00707,Online public services are not designed for screen readers.,Accessibility,Digital Accessibility,Inaccessible Websites
Q00608,Lack of parking space is creating traffic problems.,Urban Development,Traffic Management,Parking Problem
Q00374,Residents need awareness about separating household waste.,Sanitation,Waste Management,Waste Segregation Problem
Q00234,Farmers are struggling with nutrient-deficient soil.,Agriculture,Soil Health,Soil Fertility Problem
Q00641,Low income families cannot afford suitable housing.,Urban Development,Housing,Affordable Housing Problem
Q00318,The village water supply is highly irregular.,Water Management,Water Supply,Irregular Water Supply
Q00411,Rainwater remains on village roads for several days.,Sanitation,Drainage,Waterlogging
Q00727,There is limited information about disability-friendly public facilities.,Accessibility,Public Services Accessibility,Accessibility Information Problem
Q00359,Residents are concerned about the continuously declining water table.,Water Management,Groundwater,Falling Water Table
Q00259,Farmers struggle because farming machinery is unavailable.,Agriculture,Agricultural Equipment,Equipment Shortage
Q00628,Residents cannot easily travel to nearby towns.,Urban Development,Public Transport,Transport Connectivity Problem
Q00633,Low income families struggle to find suitable housing.,Urban Development,Housing,Housing Shortage
Q00283,The village lacks warehouses for agricultural produce.,Agriculture,Agricultural Market,Agricultural Storage Problem
Q00377,Wastewater is overflowing from the drainage system.,Sanitation,Sewage Management,Sewage Overflow
Q00385,The community needs a proper sewage treatment system.,Sanitation,Sewage Management,Sewage Treatment Problem
Q00225,Crop production has fallen over the last few seasons.,Agriculture,Crop Management,Low Crop Productivity
Q00790,The community needs better entrepreneurship training.,Rural Livelihood,Self Employment,Entrepreneurship Training Problem
Q00665,Government buildings need better accessibility.,Accessibility,Accessible Buildings,Inaccessible Public Buildings
Q00473,Forest resources are being damaged by illegal logging.,Environment,Deforestation,Illegal Tree Cutting
Q00348,The community is facing declining groundwater resources.,Water Management,Groundwater,Groundwater Depletion
Q00506,Increasing temperatures are causing severe heat stress.,Environment,Climate Issues,Heat Stress
Q00640,Residents need support to improve unsafe houses.,Urban Development,Housing,Poor Housing Condition
Q00799,Basic infrastructure is insufficient for local economic activities.,Rural Livelihood,Rural Infrastructure,Rural Infrastructure Shortage
Q00751,Young people do not have enough opportunities to learn job skills.,Rural Livelihood,Skill Development,Skill Training Shortage
Q00732,Public offices lack staff to help people with accessibility needs.,Accessibility,Public Services Accessibility,Service Assistance Shortage
Q00620,Public transport is insufficient for local residents.,Urban Development,Public Transport,Public Transport Shortage
Q00694,The community needs better access to disability support equipment.,Accessibility,Assistive Technology,Assistive Device Shortage
Q00646,The town lacks adequate basic infrastructure.,Urban Development,Urban Infrastructure,Poor Urban Infrastructure
Q00769,Lack of finance is preventing villagers from expanding businesses.,Rural Livelihood,Small Businesses,Small Business Finance Problem
Q00557,Many public roads remain dark at night.,Energy,Street Lighting,Street Light Shortage
Q00578,The community needs access to energy efficient equipment.,Energy,Energy Efficiency,Energy Efficient Equipment Shortage
Q00086,The village does not have a nearby healthcare facility.,Healthcare,Healthcare Access,Lack of Local Healthcare
Q00243,There is limited access to soil testing services.,Agriculture,Soil Health,Soil Testing Access
Q00160,Lack of water is affecting crop production.,Agriculture,Irrigation,Irrigation Water Shortage
Q00525,Remote households continue to face limited electricity access.,Energy,Electricity Access,Rural Electrification Problem
Q00036,Students do not have a qualified teacher for science subjects.,Education,Teacher Availability,Subject Teacher Shortage
Q00541,The village has limited access to solar energy systems.,Energy,Renewable Energy,Solar Energy Access
Q00171,Water is leaking from the damaged canal before reaching the farms.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00655,Public recreational spaces are insufficient.,Urban Development,Urban Infrastructure,Public Space Shortage
Q00696,Assistive devices are too expensive for many families.,Accessibility,Assistive Technology,Assistive Technology Cost
Q00688,People with disabilities need more accessible buses.,Accessibility,Accessible Transport,Accessible Bus Shortage
Q00763,Training courses are not aligned with industry demand.,Rural Livelihood,Skill Development,Skill Job Mismatch
Q00096,The local health centre is in poor condition.,Healthcare,Medical Infrastructure,Poor Health Facility
Q00564,Street lighting equipment is frequently malfunctioning.,Energy,Street Lighting,Broken Street Lights
Q00241,Soil testing facilities are too far from the village.,Agriculture,Soil Health,Soil Testing Access
Q00575,Public facilities need better energy efficiency.,Energy,Energy Efficiency,Building Energy Wastage
Q00461,Fertilizers from farms are entering the nearby water source.,Environment,Water Pollution,Agricultural Runoff Pollution
Q00554,The village needs awareness programs about clean energy.,Energy,Renewable Energy,Renewable Energy Awareness
Q00713,Digital forms are difficult to use with assistive software.,Accessibility,Digital Accessibility,Screen Reader Accessibility Problem
Q00207,Crop diseases are damaging agricultural production.,Agriculture,Crop Management,Crop Disease Management
Q00393,There are insufficient public toilets in the area.,Sanitation,Toilet Facilities,Toilet Shortage
Q00398,Public toilets lack water and cleaning facilities.,Sanitation,Toilet Facilities,Poor Public Toilets
Q00689,Accessible public buses are not available on important routes.,Accessibility,Accessible Transport,Accessible Bus Shortage
Q00218,Farmers are struggling to improve agricultural productivity.,Agriculture,Crop Management,Low Crop Productivity
Q00005,Many students have to attend classes in temporary spaces due to lack of classrooms.,Education,School Infrastructure,Classroom Shortage
Q00643,Affordable homes are difficult to find in the area.,Urban Development,Housing,Affordable Housing Problem
Q00726,People with disabilities cannot easily find information about accessible services.,Accessibility,Public Services Accessibility,Accessibility Information Problem
Q00613,Broken traffic signals are creating confusion for drivers.,Urban Development,Traffic Management,Traffic Signal Problem
Q00547,Solar installations in the village are frequently malfunctioning.,Energy,Renewable Energy,Solar Installation Problem
Q00684,Transport services need facilities for wheelchair users.,Accessibility,Accessible Transport,Wheelchair Transport Problem
Q00099,The health centre lacks basic infrastructure.,Healthcare,Medical Infrastructure,Poor Health Facility
Q00574,Old electrical equipment is increasing energy consumption.,Energy,Energy Efficiency,Building Energy Wastage
Q00407,Blocked drains are causing water to accumulate on roads.,Sanitation,Drainage,Blocked Drainage
Q00503,The timing of rainfall has changed significantly.,Environment,Climate Issues,Changing Rainfall Pattern
Q00048,Many students do not know how to access available scholarships.,Education,Student Services,Scholarship Access Problem
Q00033,Students are affected because the school has too few teachers.,Education,Teacher Availability,Teacher Shortage
Q00201,Farmers need advice on choosing crops according to weather conditions.,Agriculture,Crop Management,Crop Selection Problem
Q00135,Many patients cannot afford necessary medicines.,Healthcare,Medicine Availability,High Medicine Cost
Q00028,There are not enough smart devices for online education.,Education,Digital Education,Digital Learning Equipment Shortage
Q00715,People using screen readers face problems accessing online services.,Accessibility,Digital Accessibility,Screen Reader Accessibility Problem
Q00231,Soil fertility has decreased over the years.,Agriculture,Soil Health,Soil Fertility Problem
Q00490,The community is noticing a decline in local biodiversity.,Environment,Biodiversity,Species Decline
Q00379,Sewage is entering residential areas.,Sanitation,Sewage Management,Sewage Overflow
Q00289,The village water supply cannot meet household demand.,Water Management,Drinking Water,Drinking Water Shortage
Q00419,The existing drainage system is insufficient.,Sanitation,Drainage,Poor Drainage Infrastructure
Q00675,There are not enough disability-friendly toilets in public places.,Accessibility,Accessible Buildings,Accessible Toilet Shortage
Q00392,Many households still lack access to toilets.,Sanitation,Toilet Facilities,Toilet Shortage
Q00593,The area lacks proper road maintenance services.,Urban Development,Roads,Road Maintenance Problem
Q00499,Unusual weather conditions are affecting local livelihoods.,Environment,Climate Issues,Extreme Weather Impact
Q00139,The community needs better emergency medical support.,Healthcare,Emergency Services,Emergency Service Shortage
Q00063,Youth need better vocational courses to prepare for employment.,Education,Vocational Training,Vocational Training Shortage
Q00472,Unauthorized tree cutting is occurring in the local forest.,Environment,Deforestation,Illegal Tree Cutting
Q00648,Several public facilities require major improvement.,Urban Development,Urban Infrastructure,Poor Urban Infrastructure
Q00129,Essential drugs are missing from the local health facility.,Healthcare,Medicine Availability,Essential Medicine Unavailability
Q00789,Local entrepreneurs need guidance on business planning.,Rural Livelihood,Self Employment,Entrepreneurship Training Problem
Q00521,Remote parts of the village are still not electrified.,Energy,Electricity Access,Rural Electrification Problem
Q00065,Young people have limited access to vocational education.,Education,Vocational Training,Vocational Training Shortage
Q00015,The village school needs better facilities for students.,Education,School Infrastructure,School Facility Shortage
Q00157,Agricultural fields suffer from lack of water during dry months.,Agriculture,Irrigation,Irrigation Water Shortage
Q00041,Teachers frequently remain absent from the village school.,Education,Teacher Availability,Teacher Absenteeism
Q00493,Residents experience frequent encounters with wild animals.,Environment,Biodiversity,Human Wildlife Conflict
Q00380,Overflowing sewage is creating unhygienic conditions.,Sanitation,Sewage Management,Sewage Overflow
Q00188,The irrigation system is not sufficient for the number of farms.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00217,Crop production is lower than expected in the village.,Agriculture,Crop Management,Low Crop Productivity
Q00053,Children travel long distances because school transport is unavailable.,Education,Student Services,Student Transport Problem
Q00338,Residents need infrastructure to collect rainwater.,Water Management,Water Conservation,Rainwater Harvesting Problem
Q00720,People with disabilities face difficulties using the online portal.,Accessibility,Digital Accessibility,Digital Interface Accessibility Problem
Q00296,The village lacks proper infrastructure for supplying drinking water.,Water Management,Drinking Water,Drinking Water Infrastructure Problem
Q00702,Residents need training to use disability assistive technology.,Accessibility,Assistive Technology,Assistive Technology Support Problem
Q00252,The farmland is becoming less productive because of soil degradation.,Agriculture,Soil Health,Soil Degradation
Q00462,Agricultural chemicals are polluting local water bodies.,Environment,Water Pollution,Agricultural Runoff Pollution
Q00456,Untreated sewage is being discharged into the river.,Environment,Water Pollution,Sewage Water Pollution
Q00808,The rural market requires better facilities.,Rural Livelihood,Rural Infrastructure,Market Infrastructure Problem
Q00270,Farmers need better maintenance services for farming equipment.,Agriculture,Agricultural Equipment,Equipment Maintenance
Q00202,Many farmers select crops without proper agricultural guidance.,Agriculture,Crop Management,Crop Selection Problem
Q00162,"During summer, crops do not receive adequate water.",Agriculture,Irrigation,Irrigation Water Shortage
Q00556,Several streets in the village do not have street lights.,Energy,Street Lighting,Street Light Shortage
Q00730,People need better information about accessible public services.,Accessibility,Public Services Accessibility,Accessibility Information Problem
Q00402,The village lacks a proper system for maintaining public toilets.,Sanitation,Toilet Facilities,Toilet Maintenance Problem
Q00703,There is limited technical support for assistive devices.,Accessibility,Assistive Technology,Assistive Technology Support Problem
Q00477,Forest areas are becoming degraded due to human activities.,Environment,Deforestation,Forest Degradation
Q00106,The local health centre does not have enough doctors.,Healthcare,Doctor Availability,Doctor Shortage
Q00566,The existing street lights are too weak to illuminate roads properly.,Energy,Street Lighting,Poor Street Lighting
Q00390,The sewage infrastructure needs improvement.,Sanitation,Sewage Management,Sewage Network Problem
Q00002,Students are forced to share overcrowded classrooms.,Education,School Infrastructure,Classroom Shortage
Q00758,Trainees do not receive enough hands-on experience.,Rural Livelihood,Skill Development,Training Quality Problem
Q00562,Broken street lights leave roads dark at night.,Energy,Street Lighting,Broken Street Lights
Q00081,Villagers have to travel many kilometres to reach a hospital.,Healthcare,Healthcare Access,Long Distance to Healthcare
Q00206,Farmers are struggling to control diseases affecting their crops.,Agriculture,Crop Management,Crop Disease Management
Q00035,There is a shortage of teachers in the local school.,Education,Teacher Availability,Teacher Shortage
Q00509,The village is experiencing longer periods of intense heat.,Environment,Climate Issues,Heat Stress
Q00428,There are no effective measures to control littering.,Sanitation,Public Cleanliness,Littering Problem
Q00455,Residents are concerned about pollution from nearby factories.,Environment,Water Pollution,Industrial Water Pollution
Q00367,Garbage is being thrown near residential areas.,Sanitation,Waste Management,Open Waste Dumping
Q00092,Important equipment is missing from the local hospital.,Healthcare,Medical Infrastructure,Medical Equipment Shortage
Q00340,Rainwater harvesting facilities are inadequate.,Water Management,Water Conservation,Rainwater Harvesting Problem
Q00565,Residents have complained about non-functional street lights.,Energy,Street Lighting,Broken Street Lights
Q00346,Groundwater levels are falling rapidly in the village.,Water Management,Groundwater,Groundwater Depletion
Q00242,Farmers cannot obtain proper soil health reports.,Agriculture,Soil Health,Soil Testing Access
Q00014,Basic facilities required for students are not available.,Education,School Infrastructure,School Facility Shortage
Q00316,Water does not reach households regularly.,Water Management,Water Supply,Irregular Water Supply
Q00601,Traffic congestion is causing long delays in the town.,Urban Development,Traffic Management,Traffic Congestion
Q00388,The existing sewage network is inadequate.,Sanitation,Sewage Management,Sewage Network Problem
Q00274,Local crop prices are too low to cover farming costs.,Agriculture,Agricultural Market,Low Crop Prices
Q00167,Farmers cannot receive canal water because the canal is broken.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00804,Local businesses do not have adequate storage facilities.,Rural Livelihood,Rural Infrastructure,Storage Infrastructure Problem
Q00647,Urban infrastructure has not kept pace with population growth.,Urban Development,Urban Infrastructure,Poor Urban Infrastructure
Q00485,The community is concerned about the loss of animal habitats.,Environment,Biodiversity,Wildlife Habitat Loss
Q00793,Lack of affordable finance prevents residents from starting businesses.,Rural Livelihood,Self Employment,Self Employment Finance Problem
Q00505,Changes in rainfall patterns are creating difficulties for farmers.,Environment,Climate Issues,Changing Rainfall Pattern
Q00244,Farmers need affordable soil testing facilities.,Agriculture,Soil Health,Soil Testing Access
Q00567,Roads remain poorly lit despite having street lights.,Energy,Street Lighting,Poor Street Lighting
Q00563,Many lights require repair or replacement.,Energy,Street Lighting,Broken Street Lights
Q00687,The local bus fleet lacks accessible vehicles.,Accessibility,Accessible Transport,Accessible Bus Shortage
Q00190,Farmers have no reliable irrigation facility.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00700,Assistive equipment is financially inaccessible to many residents.,Accessibility,Assistive Technology,Assistive Technology Cost
Q00476,The quality of the local forest is declining.,Environment,Deforestation,Forest Degradation
Q00682,Public transport does not accommodate wheelchairs properly.,Accessibility,Accessible Transport,Wheelchair Transport Problem
Q00511,Some households in the village still do not have electricity.,Energy,Electricity Access,Electricity Access Problem
Q00059,Students cannot study properly because learning resources are limited.,Education,Student Services,Learning Material Shortage
Q00475,Illegal logging is threatening the nearby forest.,Environment,Deforestation,Illegal Tree Cutting
Q00561,Several street lights are not working.,Energy,Street Lighting,Broken Street Lights
Q00748,Local job opportunities are limited.,Rural Livelihood,Employment,Local Job Access Problem
Q00253,Soil erosion is affecting agricultural fields.,Agriculture,Soil Health,Soil Degradation
Q00022,The school has unreliable internet access.,Education,Digital Education,Poor Internet Connectivity
Q00314,Water samples are rarely tested for contamination.,Water Management,Water Quality,Water Testing Problem
Q00460,The river is polluted by untreated sewage.,Environment,Water Pollution,Sewage Water Pollution
Q00161,Farmers cannot supply enough water to their fields.,Agriculture,Irrigation,Irrigation Water Shortage
Q00277,There is no nearby market where farmers can sell their crops.,Agriculture,Agricultural Market,Market Access Problem
Q00192,The village requires improved facilities for irrigating crops.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00386,The village does not have a proper sewage network.,Sanitation,Sewage Management,Sewage Network Problem
Q00414,Water accumulates around houses during the rainy season.,Sanitation,Drainage,Waterlogging
Q00492,Farmers are facing problems due to wildlife entering agricultural fields.,Environment,Biodiversity,Human Wildlife Conflict
Q00344,The community needs measures to reduce water wastage.,Water Management,Water Conservation,Water Wastage
Q00770,Rural entrepreneurs face difficulties obtaining funding.,Rural Livelihood,Small Businesses,Small Business Finance Problem
Q00309,People are receiving water that is not suitable for drinking.,Water Management,Water Quality,Poor Water Quality
Q00662,Wheelchair users cannot easily enter the government office.,Accessibility,Accessible Buildings,Inaccessible Public Buildings
Q00131,Poor families cannot afford the medicines prescribed by doctors.,Healthcare,Medicine Availability,High Medicine Cost
Q00664,People with mobility difficulties face barriers entering public facilities.,Accessibility,Accessible Buildings,Inaccessible Public Buildings
Q00100,The medical facility requires major improvements.,Healthcare,Medical Infrastructure,Poor Health Facility
Q00373,The village lacks a proper waste segregation system.,Sanitation,Waste Management,Waste Segregation Problem
Q00088,People have no local centre for routine healthcare.,Healthcare,Healthcare Access,Lack of Local Healthcare
Q00459,Domestic wastewater is contaminating nearby water bodies.,Environment,Water Pollution,Sewage Water Pollution
Q00331,The village lacks effective measures to conserve water.,Water Management,Water Conservation,Water Conservation Problem
Q00215,Crop disease outbreaks are affecting local farmers.,Agriculture,Crop Management,Crop Disease Management
Q00467,Large areas of forest are being cleared.,Environment,Deforestation,Forest Loss
Q00122,Patients are unable to get prescribed medicines from the local facility.,Healthcare,Medicine Availability,Medicine Shortage
Q00615,Poor traffic signal management is causing congestion.,Urban Development,Traffic Management,Traffic Signal Problem
Q00021,Students cannot attend online classes because internet connectivity is poor.,Education,Digital Education,Poor Internet Connectivity
Q00701,People do not receive enough support to use assistive devices.,Accessibility,Assistive Technology,Assistive Technology Support Problem
Q00072,Young people need training that is connected to employment opportunities.,Education,Vocational Training,Job Oriented Training Problem
Q00107,Patients cannot get treatment because doctors are unavailable.,Healthcare,Doctor Availability,Doctor Shortage
Q00271,Farmers receive very low prices when selling their crops.,Agriculture,Agricultural Market,Low Crop Prices
Q00436,Smoke from vehicles is making the air unhealthy.,Environment,Air Pollution,Vehicle Pollution
Q00103,The health centre needs better rooms and facilities.,Healthcare,Medical Infrastructure,Healthcare Infrastructure Problem
